Directory Name,Number of CSV Files
Harshit_Preprocessed_Data-CS200\Bitumin\001_Abj_Bitumin_1_12-2,32
Harshit_Preprocessed_Data-CS200\Bitumin\002_Abj_Bitumin_2_12-2,28
Harshit_Preprocessed_Data-CS200\Bitumin\003_Abj_Bitumin_3a_12-2,44
Harshit_Preprocessed_Data-CS200\Bitumin\004_Abj_Bitumin_4_12-2,42
Harshit_Preprocessed_Data-CS200\Bitumin\005_Abj_Bitumin_5_12-2,46
Harshit_Preprocessed_Data-CS200\Bitumin\006_Ak_Bitumin_1_12-2,32
Harshit_Preprocessed_Data-CS200\Bitumin\007_Ak_Bitumin_2_12-2,28
Harshit_Preprocessed_Data-CS200\Bitumin\008_HS_Bitumin_1_12-2,31
Harshit_Preprocessed_Data-CS200\Bitumin\009_HS_Bitumin_2_12-2,29
Harshit_Preprocessed_Data-CS200\Bitumin\010_HS_Bitumin_3a_12-2,44
Harshit_Preprocessed_Data-CS200\Bitumin\011_HS_Bitumin_4_12-2,42
Harshit_Preprocessed_Data-CS200\Bitumin\012_HS_Bitumin_5_12-2,47
Harshit_Preprocessed_Data-CS200\Bitumin\013_RV_Bitumin_1_12-2,31
Harshit_Preprocessed_Data-CS200\Bitumin\014_RV_Bitumin_2_12-2,28
